S#,C#,GRADE
2195937834,FEES500101,null
2192663922,MACH390801,68.0
2210586651,LITE401521,47.2
2190611825,LITE306821,60.7
2213280753,INDE900301,74.1
2229479066,LITE306221,53.3
2204393364,GNED100601,null
2229271164,LITE304621,97.0
2193083329,INDE400101,81.0
2220506378,JZSJ900101,86.7
2203884625,INDE400601,81.7
2221588726,LITE303021,79.4
2198671524,LITE101321,62.7
2222485278,LITE306321,null
2212581658,GNED101101,87.0
2197956825,LITE303021,56.6
2214427327,MACH390901,71.5
2225638299,INSM502101,95.7
2199236857,GNED110400,50.3
2191864015,GNED101001,85.2
2211536081,INDE500901,42.0
JL21987460,GNED101101,84.8
2223345224,LITE306121,59.4
JL22190052,INFT500121,84.8
2227255346,JZSJ900301,null
JL22259764,BSIS400121,83.7
2214674581,MACH392201,90.2
2222674330,LITE101121,null
JL22006930,GNED100601,null
2207165215,LITE401121,53.9
JL22006930,INSM502101,null
2202617602,ITDE500601,null
2209866844,MACH400301,71.3
2191573342,LITE302721,73.7
2206762710,GNED110400,90.0
2227101718,LITE501121,null
2206204587,LITE305421,72.8
JL21921615,GNED100601,null
2198431451,MACH391501,92.3
2204438425,LITE307021,76.0
2191614442,LITE306121,95.8
2216954812,LITE306321,null
2215837292,INDE900801,68.2
JL22113164,LITE402421,81.4
2222561139,INDE901001,41.7
2211170882,LITE306221,75.5
2192984966,INSM000101,null
2224568763,JZSJ900101,90.4
2196366275,LITE302721,72.2
2211948583,GNED106292,86.4
2218687112,FEES400101,63.9
2193997415,LITE305821,86.6
2227944024,LITE305621,45.6
2205569366,SOCP100190,57.9
2211794411,FEES400301,53.1
2192494355,LITE305021,57.9
2217305509,LITE305821,29.4
2216371815,INSM000101,52.8
2194490065,LITE305821,83.4
2204269096,INDE500901,81.3
2202470738,MACH392001,60.2
2200306125,LITE302721,null
2190342267,MACH000101,null
2191614442,LITE200321,88.5
2191646836,INSM502001,57.7
2206767598,JZSJ900101,null
2220876383,INDE401601,90.2
2200026968,GNED100601,62.0
2220677463,LITE305021,68.4
2216249264,INDE900201,77.1
2201609446,INDE900301,74.8
2195448773,MACH392301,63.3
2222466349,MACH390901,59.4
2219967533,MACH391401,69.2
2222784391,MACH390901,72.9
2215662842,FEES400301,63.3
2204593432,INSM401201,null
2198230364,LITE401121,55.1
2193496719,SOCP100190,72.7
2227841763,ITDE500701,92.8
2223750242,MATH400121,75.5
2203324662,LITE401521,null
2209858928,LITE401421,48.8
2195077237,FEES400101,84.9
JL22086058,INSM302201,72.6
2216311834,MACH391501,81.4
2193179551,CORE102600,59.6
2209103755,SOCP100190,66.7
2209527942,INDE900801,null
2218323005,INDE900801,57.2
2201336635,INDE401501,64.9
2200440173,INSM302001,73.8
2199618334,INDE500801,80.1
2221424213,INDE401601,67.3
2200138838,INDE400601,58.7
2211530784,GNED110400,83.8
2222466349,FEES500101,74.3
2204098768,GNED100401,53.9
2204393364,INSM401201,54.8
2210659748,GNED101101,85.2
JL22252352,INSM401201,35.8
JL21919179,LITE401421,86.3
2217495436,LITE101121,70.6
2217614017,INDE400601,90.1
2211220656,LITE501121,67.5
2212166682,LITE305321,69.5
2204350999,MACH392201,null
2203324662,CORE102600,83.6
JL22107007,MACH391201,82.4
2207462533,MACH392401,40.5
2192138809,LITE200321,89.5
2223495853,INSM900301,89.3
2214320332,MACH391401,81.5
2210941349,LITE305321,94.2
2206540077,INSM401601,95.2
JL22279882,JZSJ900101,89.1
JL22068348,LITE306121,45.4
2196361366,LITE304621,93.9
2195461171,FEES400101,64.2
2219322141,LITE306321,76.3
2205529609,LITE303721,88.4
2217270492,LITE401421,65.2
2221685253,MACH000201,96.4
2197787377,AUTO544905,88.7
2195049768,LITE307021,64.2
JL22182937,LITE402321,83.2
JL22209535,JZSJ900301,76.3
2208781712,LITE306821,98.7
2190213714,MACH391401,86.2
2193932324,INSM000101,62.5
2206586561,MACH392201,93.4
2202277549,FEES500101,54.8
2199662571,GNED110400,71.1
JL22291493,LITE305821,46.0
2218423503,LITE502121,79.9
2201913018,INDE400101,68.3
2194496091,LITE305421,83.3
2208781712,GNED100701,88.7
2199555042,FEES400501,89.6
2195887286,GNED110400,70.3
2208603890,GNED106492,73.2
JL22190052,LITE402321,63.1
2215797903,GNED100901,84.0
2209866844,GNED100701,77.4
JL22145397,INDE300601,84.0
2208603890,FEES500101,68.4
2221678123,LITE304421,81.4
2223750242,INSM401601,70.4
2191590488,JZSJ900121,83.2
JL22045182,INSM900101,86.0
2199021248,INSM401601,68.6
2197956825,LITE501321,56.8
2223001004,LITE101021,null
JL22045182,GNED101001,null
2208055289,GNED100701,81.7
2213868229,MACH390801,57.0
2215575684,FEES400501,57.6
2205185638,INSM502001,60.7
2209971502,MACH391201,60.6
2205650430,GNED100901,97.5
2207150892,GNED100401,74.4
2190923201,GNED100601,96.6
JL22133278,INSM501901,88.3
2201415493,LITE501321,50.4
2210123496,INDE300601,null
2194772724,INSM900101,59.8
2195469338,INSM502101,56.4
2227909867,LITE302321,85.2
2205574706,LITE305021,79.2
2197128337,INSM900301,null
2218240240,INDE900801,70.3
2211798673,FEES300101,51.0
2217959034,INSM302201,50.6
2215185412,LITE306221,50.5
2202851376,MACH392401,84.1
2211530784,MATH400121,76.3
2229584507,LITE303221,69.2
2222765277,GNED100701,49.5
2217962485,ITDE500601,72.0
2227526851,GNED115200,null
2197956825,AUTO544905,86.2
2196416655,ITDE500701,78.7
2191379259,LITE305321,84.2
2190826591,FEES400301,85.1
2212711906,LITE401421,null
2208584734,MACH392201,67.7
JL22087368,INSM302001,61.6
2222713021,INSM401201,60.1
2212861118,MACH400301,63.1
2207748693,MACH000201,77.0
2210526736,MACH391501,64.5
2191384715,INDE900201,62.7
JL21916613,ITDE500701,78.9
2227123322,GNED101001,59.9
2194093391,INSM401501,77.5
2204858514,LITE101121,48.8
2193508875,LITE305321,73.6
2228678682,FEES500101,75.4
2207294072,INSM302001,null
2191384715,JZSJ900101,97.7
2190796474,MACH390801,null
2192663922,GNED115200,null
2195461171,INDE900801,81.4
2220506378,BSIS400121,62.4
2196361366,LITE200521,80.0
JL22086675,ITDE500701,77.2
2203445445,INDE400101,27.3
2190444407,LITE401521,65.0
JL22145128,GNED101001,78.4
2200049881,LITE402321,null
JL22255912,FEES400301,61.8
JL22005641,MACH400301,68.7
2220540481,MACH390801,93.5
JL22002726,LITE302721,null
2202622585,LITE306821,88.2
2214520771,LITE401521,87.9
2217817831,MACH392001,64.9
2217693062,LITE402421,83.1
2196165268,LITE306821,82.9
2214660591,INDE401401,77.4
2226212297,GNED100901,82.5
2217607115,LITE402321,41.2
2205257679,FEES400101,67.7
2216062620,LITE401421,65.8
2199236857,ITDE500601,90.8
2214074682,LITE401821,90.0
2219489078,LITE305021,68.6
2192587724,GNED100901,65.6
2217160074,INDE501001,58.8
2217962485,LITE306821,87.3
2219493593,LITE305021,86.3
2224604427,FEES500101,86.7
2211066800,BSIS400121,81.9
2211948583,JZSJ900101,null
2197840617,LITE402421,65.7
2217614017,ITDE500601,91.1
JL22292681,GNED100701,null
JL22165777,GNED106292,87.3
2229432307,INDE401401,76.5
2200404246,FEES400101,75.6
2199771962,LITE200321,72.5
2216646982,INDE900201,68.9
2195937834,GNED106492,63.7
2191278913,GNED110400,96.4
2197199299,ITDE500601,88.3
2200251565,MACH000201,null
2223381898,INSM302001,92.9
2211395587,LITE401121,69.7
2212581658,LITE305621,45.8
2193783039,FEES400301,87.2
2229683357,MACH400301,68.9
2221800247,INDE401401,66.9
2223417116,INSM900301,null
JL21916613,INDE900801,97.0
2213477527,INDE400601,51.7
2215061306,AUTO544905,49.8
2210895724,LITE305321,79.9
JL22152260,INDE501001,79.0
2215172777,LITE501321,98.2
2196724776,INDE501001,57.8
2195816633,GNED106292,88.6
2195568103,GNED106392,87.4
JL22198949,LITE402321,80.8
2221983041,MACH390801,42.2
2214520771,LITE101321,89.2
2207347932,LITE305321,72.0
2222239016,INDE401401,61.3
2222784391,GNED106392,77.5
2209866844,JZSJ900301,46.7
JL22182937,LITE200321,null
2224640895,LITE501121,76.5
2218436556,LITE402321,64.5
2226019923,ITDE500701,80.3
2215138684,INDE000701,74.7
JL22133278,FEES500101,70.2
2203225789,LITE306921,null
2190806507,LITE306221,83.0
2204430990,SOCP100190,73.6
2222561139,GNED106392,85.2
2215140383,FEES400501,92.6
2220992831,GNED100901,93.6
2216249264,LITE303021,90.7
2213589879,MACH391201,85.8
2209759042,LITE501121,52.4
2198475837,MACH390901,75.0
2192663922,LITE303721,65.0
2194856339,FEES300101,null
2195800020,SOCP100190,60.3
2208740976,MACH391401,97.2
2211661449,INDE400601,82.9
2208696221,INSM502101,66.9
2205185638,INSM900101,81.9
2201203398,INDE900201,64.7
2216646982,LITE305021,49.8
2216508411,INDE401601,62.8
2191590488,LITE306921,95.9
2219431854,MACH391201,98.1
JL22264056,MATH400121,92.4
2222784391,LITE305421,41.5
2216933565,JZSJ900301,83.3
2228948373,LITE305321,72.2
2192825623,ITDE500701,91.9
2200306125,JZSJ900121,68.9
JL22165777,LITE101321,65.7
2218351535,INDE400601,61.6
2196972533,LITE303021,87.6
2217996207,MACH391401,93.0
2228390493,LITE303021,74.4
2216249264,INSM502001,43.6
2196895336,LITE306121,null
JL22274787,INSM501901,60.7
2202797557,LITE305321,79.5
2195469338,LITE401121,99.1
2191590488,FEES300101,84.5
2217614017,MACH391501,53.3
2190745537,INSM302201,null
2213280753,INSM302001,85.9
2191158116,INDE901001,74.6
2227872334,LITE306121,72.7
JL22240435,INDE901001,null
2199942832,LITE501321,84.2
2208472165,MACH390901,79.5
2198993184,INDE500901,95.5
2225678905,INDE000701,91.0
2191158116,LITE306821,53.6
2216230364,INDE500901,44.6
2223495853,LITE305421,null
2222485278,LITE305821,49.5
2208855253,INSM302201,null
JL22040259,LITE101321,65.4
JL22242879,LITE501321,93.9
2210123496,LITE502121,null
2210679012,LITE305421,76.2
2224179472,LITE200521,null
2209207361,JZSJ900121,85.2
JL22165939,JZSJ900101,81.9
2190159112,GNED110400,62.2
2197884937,INDE401401,88.3
2190675360,FEES500101,null
2205714505,LITE305021,69.5
2226659773,LITE306221,59.5
2209996472,AUTO544905,86.8
2222561139,LITE304621,77.3
2195043024,JZSJ900121,70.3
2225439149,GNED106292,61.2
2199859306,JZSJ900101,53.8
2216357826,MACH392301,71.2
2203445445,MACH392201,null
2197604359,MACH000201,85.2
2223597617,FEES500101,98.7
2227292331,LITE101121,72.9
2217938597,BSIS400121,71.3
JL22166030,LITE401521,64.3
2192745767,GNED110400,null
2193310881,INDE500801,null
2217614017,INSM401601,65.9
2191526172,GNED101001,44.7
JL22208844,ITDE500601,null
JL22056979,GNED106392,null
JL21941350,LITE306821,null
2203631710,GNED100401,40.4
2216954443,AUTO544905,72.4
2199955537,INSM302001,63.4
2193263702,MACH391401,62.4
2212028859,INDE500801,45.3
2197462818,GNED100601,77.9
2190796474,JZSJ900101,67.4
2207165215,INFT500121,63.5
2194404805,INDE401501,92.2
2195568103,LITE306321,41.5
2197604359,INDE500801,null
2223189444,LITE306221,97.9
2224578041,INSM501901,33.1
2217495436,INSM401801,96.3
2216973606,SOCP100190,77.6
2195816633,INDE500901,80.2
2196724776,LITE303721,98.6
2203528443,MACH391401,65.4
2205650430,SOCP100190,84.4
2201336635,INDE900801,38.4
2218323005,MACH392401,59.7
2227315699,LITE402621,57.5
2226042811,LITE303021,87.5
2220486760,LITE402321,76.6
2225826872,FEES400501,84.0
2199555042,INSM900101,86.5
2196724776,GNED115200,86.6
2197128337,GNED100601,null
2212028859,INFT500121,54.9
2222610011,MACH392201,80.5
2191886330,LITE501321,90.2
2217299447,JZSJ900101,null
2211530784,LITE302721,null
2223495853,GNED101101,null
2203663954,GNED100401,66.3
JL21987460,GNED106492,85.7
2222205377,INDE401501,87.5
2214346014,INDE500801,85.9
2196366275,LITE401821,84.9
2223465182,LITE502221,91.2
2216954812,INSM502101,84.8
JL22006930,LITE306821,66.7
2191479423,FEES500101,85.0
2209527942,ITDE500601,68.5
2197610956,FEES400101,81.4
2190868876,LITE306121,33.3
2197462818,LITE307021,91.5
2192341356,FEES400101,83.5
2226033116,INSM900101,65.8
2209900330,INDE400601,null
2220384768,LITE305421,65.9
2196252065,LITE101321,63.6
2227944024,MACH391401,61.3
2215802117,INDE900801,80.5
2194759784,MACH000201,90.9
2204727079,LITE200521,null
2223417116,INSM401201,89.7
2209568965,LITE304621,39.1
2227872334,LITE305421,null
2194093391,FEES500101,61.3
2203971487,INSM502101,72.0
2192004102,INSM401501,48.4
2208055289,LITE306121,73.6
JL21936931,MACH391501,null
2190745537,LITE501121,41.3
2221100858,LITE101121,80.6
2202470738,LITE304421,61.0
2213477527,LITE402321,77.6
JL22233925,MACH000101,99.4
2190826591,LITE401821,31.8
2207861557,INSM501901,null
2223431384,INSM302201,36.1
2228678682,JZSJ900301,59.6
2195049768,INSM900101,91.7
2196531193,LITE306121,84.6
2221366895,MACH390801,82.6
2197764511,LITE303021,98.6
2213428607,GNED100401,76.0
2216381952,MACH392201,92.6
2219573005,INDE900201,58.2
2203320961,INDE300601,57.8
JL22240435,JZSJ900301,96.2
2196846723,LITE402421,75.2
2223597617,MACH392401,80.6
2206540077,GNED101101,null
2222610011,FEES300101,74.1
2200152753,INDE000701,null
JL22158559,INDE401401,95.9
JL22056979,MACH392201,74.1
2195696139,LITE101121,43.3
2192143007,ITDE500701,null
JL22208844,MACH400301,88.5
2195049768,INDE900301,28.1
2216231759,LITE304621,58.0
2204067262,LITE502221,28.4
2225336905,LITE303021,null
2220407438,GNED106292,33.4
2190327547,INSM501901,92.5
2205425551,GNED115200,97.0
2200306125,INDE900801,96.4
JL21942216,MACH400301,84.7
2224573556,LITE307021,61.4
2226816814,GNED100401,91.3
2213428607,INDE401501,91.2
JL21924326,INDE401401,null
2197476939,LITE303021,83.3
2218018122,INDE400101,86.0
JL22268243,LITE402321,73.6
2191385455,MACH391501,77.9
2224212322,GNED101101,67.0
2222504770,INSM900101,68.7
2216185143,GNED100401,84.2
2211530784,MACH391401,83.7
2213683182,INSM401601,66.0
2194114443,LITE304421,45.4
2211284232,MACH391501,67.1
2197971878,MACH392001,81.0
2211398755,MACH390901,97.1
2192745767,MACH392001,54.5
2216119028,MACH000201,45.3
2220154964,LITE101321,87.9
2212861118,MACH390801,99.5
JL22261261,LITE501321,85.7
2222268852,LITE304421,99.5
2191385455,LITE303721,65.2
2218351535,LITE402621,71.6
JL22012808,LITE305321,67.4
2210148681,GNED101101,93.0
2207651387,LITE304621,71.5
JL21921615,LITE401421,48.7
2219493593,JZSJ900121,85.0
2228759500,INDE900301,67.8
2195800020,MACH391501,83.3
2224212322,MATH400121,86.9
2217583894,GNED115200,77.1
2207546468,LITE307021,84.3
JL22112734,LITE303221,69.8
2227070358,MACH390901,98.3
2225678905,INDE500901,null
JL22051260,INSM401201,null
2204067262,INDE000701,75.6
2200306125,INSM302001,88.1
2221100858,GNED110400,82.7
2222423177,INDE000701,83.0
2227123322,INFT500121,95.8
2194590680,LITE305821,69.8
2203663954,ITDE500701,71.7
2222268852,LITE401421,85.9
2204858514,GNED100701,78.2
2221843387,LITE101321,44.0
2194093391,FEES300101,91.9
JL22053110,INSM501901,96.1
JL22152260,INDE400101,59.1
2205574706,LITE307021,83.9
2194340221,FEES500101,64.9
2220486760,LITE307021,96.4
2225043354,MACH392001,99.0
2222444045,LITE306121,92.7
2210895724,INDE500901,84.2
2192900939,MACH390901,null
2212085607,LITE200321,null
JL22144367,LITE306921,94.5
2221100858,INSM401801,58.0
2211888549,INDE400601,54.9
2195902015,INSM502101,73.6
2212581658,GNED115200,64.1
2219853491,LITE302321,81.3
2220163322,ITDE500701,74.8
2228678682,INDE300601,68.7
2212529228,LITE401821,80.8
2194759784,LITE304421,null
2220540481,INDE500801,90.0
2213098491,LITE304621,71.6
2217959034,FEES400501,null
2207546468,LITE306321,86.5
2226182511,INSM000101,null
2190781666,LITE303221,73.7
2210238366,LITE402421,94.5
2190159112,LITE502221,99.3
2229124889,INSM401601,null
2218404179,BSIS400121,88.4
2218248071,LITE306121,96.8
2212799123,GNED101001,80.5
2195153825,LITE502121,83.9
2211395587,INDE901001,51.8
2210521450,LITE303721,75.6
2214941166,INSM900301,88.1
2219853491,GNED100901,55.6
2204858514,GNED110400,47.8
2229443238,LITE305821,null
JL22198786,LITE306921,null
JL22075068,MACH392401,84.7
2219231679,GNED115200,46.5
JL22190052,LITE401521,null
2199712250,INSM900301,99.1
2197874365,CORE102600,72.2
2202014275,INSM000101,null
2190134133,MACH392201,78.3
2218606372,LITE302721,42.7
2225161011,INDE401501,69.4
JL22087368,LITE501321,85.5
2204061958,FEES400301,73.2
2207742692,GNED110400,null
2197840617,MACH391201,87.4
2193083329,INSM401201,72.5
2222381192,LITE305021,null
2217614017,MACH391201,51.7
2200049881,LITE307021,42.7
JL21936931,LITE200321,53.6
2220506378,INDE501001,58.2
2225684508,LITE303721,60.7
JL21924326,LITE402621,79.9
2192984966,GNED106292,57.9
2201405952,LITE305821,null
2216954812,LITE401121,94.0
2194114443,MACH391201,73.1
JL22198949,INSM302201,90.9
2211254960,LITE305321,71.8
JL22145397,FEES400501,64.6
2195737277,INDE900801,98.6
2209207361,INSM900301,60.5
2218003301,ITDE500601,65.7
2193365656,LITE101021,81.4
JL22018362,LITE302721,92.9
2190213714,LITE402421,null
2202781657,MACH390801,57.3
2207523348,ITDE500601,94.3
2211798673,GNED106392,null
2190675360,LITE306321,55.5
2202622585,MACH391401,82.8
2193870304,GNED100401,68.0
2218113808,INSM401601,74.0
2229432307,LITE302321,95.9
2219942247,INDE500801,64.1
2204393364,INSM900101,null
2217293491,MACH392301,70.3
2195043024,INDE400101,79.1
2192665577,MACH400301,55.8
2193263702,INDE401601,94.3
2194634097,LITE401121,79.5
2190198982,MACH390801,64.8
JL21986392,GNED100901,65.0
JL22006930,LITE305421,60.9
2190134133,INDE300601,null
JL22040342,LITE101321,88.4
2209066322,LITE401821,null
JL22240435,INSM900301,78.4
2215185412,INDE401401,20.4
2210586651,LITE501321,50.6
2214859557,LITE307021,54.0
2215185412,LITE306821,94.5
2221928896,LITE101321,null
JL22245899,MACH392201,66.9
2215168534,LITE305621,81.0
2227841763,LITE401121,64.2
2208876820,MACH400301,96.3
2227713932,INSM502101,86.6
2211706172,LITE307021,91.4
JL22209535,LITE302321,77.4
2203034063,LITE305321,69.7
2192587724,LITE502121,88.8
2210526736,LITE502221,77.2
2200872797,LITE401121,83.6
2208740976,LITE502221,86.0
2210659748,CORE102600,null
2190218918,GNED110400,46.6
2191886330,GNED100601,87.4
2200266522,LITE302321,98.9
2209757367,SOCP100190,null
JL22115350,LITE101121,88.6
2218423174,CORE102600,67.9
JL22158559,LITE502221,null
2196895336,INSM401601,null
2213649171,INDE400101,null
2204438425,LITE402421,84.6
2191397272,INDE901001,90.5
2195581852,LITE303721,null
2228948373,INSM302201,75.5
2222190189,INDE400601,null
2221066712,LITE200321,61.0
2218690040,INSM000101,80.4
2222059347,MATH400121,98.9
2200251565,INSM401201,75.7
2206277422,ITDE500601,69.1
2214853962,LITE200521,68.6
2218176742,CORE102600,67.0
2193115301,INDE400601,37.4
JL22255912,ITDE500601,48.1
2190460988,MACH391401,75.1
2214859557,INSM000101,43.9
2193113411,LITE305621,92.9
JL22165777,MACH390801,79.9
2224142408,GNED106492,98.7
JL21986392,LITE305021,89.7
2223495853,GNED100701,68.1
2199467700,MACH000201,74.1
2219290065,GNED100601,92.8
2210526736,JZSJ900101,95.5
2211011284,GNED101101,null
2190923201,LITE302321,77.1
2218323005,INDE000701,null
2218630750,GNED100901,69.7
2213981998,JZSJ900121,44.1
2217996207,LITE101121,null
2192587724,FEES300101,null
2213298391,INDE400601,97.8
2191063024,MACH000201,60.1
2194496091,AUTO544905,91.5
2226460019,MACH000101,68.1
2222239016,MACH391401,52.3
2229683357,MACH392001,74.5
2205425551,INDE400101,51.0
2227101718,INSM501901,null
2219967533,INSM502001,99.7
2225548066,LITE302721,54.4
2218176742,INSM502101,76.7
2199922414,LITE307021,65.5
2190569213,MACH391501,null
2226182511,LITE305621,74.5
2198948587,MACH392201,82.5
2206313516,INDE900801,null
2213941557,LITE303721,82.7
2191952580,INDE500801,71.8
2218135082,LITE303021,66.8
2221843387,LITE401421,46.4
2217160074,INDE400601,71.1
2224286522,LITE502121,51.4
2229432307,INSM401501,60.2
2202919951,INDE900801,37.6
2222059347,MACH391501,59.0
2211220656,MACH391201,84.8
2222423177,LITE305021,68.3
2216311834,FEES400501,null
JL22182937,LITE402421,59.7
2195049768,LITE101321,65.3
2208146340,FEES300101,66.5
2193694548,MACH000201,94.8
2216774763,LITE303221,74.4
2212005273,INDE500801,91.2
2191743723,ITDE500701,82.7
2207525415,JZSJ900101,74.7
2216185143,MACH392401,45.6
2203899597,JZSJ900301,79.1
2198431451,LITE302321,62.4
2215662842,INSM502001,56.7
2194496091,LITE401521,null
2222996102,LITE306221,59.8
2210406956,INDE401501,73.0
JL21956549,INSM502101,92.9
2227487099,MACH391201,83.0
2206204587,JZSJ900121,97.7
2216826207,MACH392201,86.0
2201405952,INDE900801,54.9
2215575684,MACH392201,85.1
2223908222,LITE303021,68.2
2204721241,LITE302721,71.1
JL21933205,INSM401501,45.2
2225651889,LITE402621,null
2218248071,MACH000101,null
JL22075068,INDE400601,61.9
2212324590,GNED100901,null
JL22236042,INDE501001,null
2201511265,FEES400101,77.8
2190833759,MACH000201,82.9
2197164260,INSM502101,46.3
2214941166,LITE401821,51.6
2190404097,LITE502121,65.2
2193867221,FEES500101,64.1
2206949491,LITE402321,90.6
2212711906,INSM302201,87.5
2226042811,INDE000701,null
2193960512,MACH392001,75.5
2215172777,LITE306821,60.4
2190218918,GNED101001,90.4
JL22045182,FEES400301,71.1
2196627401,JZSJ900101,80.1
2218081326,INSM302201,74.8
2221983041,INSM401201,99.3
2195897321,LITE305421,71.6
2213868229,CORE102600,47.7
2193496719,MACH392001,80.4
2190218918,INSM401201,54.6
2217607115,LITE303021,81.2
JL22133278,LITE305621,74.6
2205512985,MACH390801,null
2217959034,MACH400301,88.5
2217305509,INSM502001,47.7
2206586561,LITE501121,35.4
JL22242879,LITE302721,59.2
2214320332,INDE401501,90.4
2221695322,INDE400601,60.0
2190197058,FEES400501,77.5
2218630750,INDE401601,52.6
2228948373,INDE300601,54.2
2204877751,INSM401801,86.6
2220894547,GNED100901,64.3
2197462818,INSM900301,77.2
2225336905,LITE305621,73.6
2204284758,LITE402421,39.4
2213477527,LITE101021,70.2
2213719404,INDE500801,74.8
2225190361,INDE501001,100.0
2205569366,AUTO544905,67.0
2212085607,LITE501321,58.6
2206416280,MACH391401,43.8
2190569213,FEES400101,67.3
2198671524,GNED106292,73.2
2216062620,LITE306321,74.1
2199518975,GNED101001,50.6
2218018122,LITE305421,null
JL21956549,LITE200321,75.5
2208007143,GNED101001,61.4
2205257679,INDE901001,87.9
JL22240435,INSM900301,null
2212581658,JZSJ900301,null
2208855253,INFT500121,46.8
2206204587,LITE200521,70.2
2222059347,LITE402421,35.6
2192808515,FEES400301,null
2199955537,INSM900301,79.8
2220396057,INDE300601,63.7
2190826591,FEES300101,72.2
2194490065,FEES400101,74.2
JL22157269,INDE401601,42.1
2201609446,GNED100601,26.8
2227526851,INDE400601,67.9
2192745767,INDE901001,94.8
2222785726,INDE400101,null
2214804955,BSIS400121,70.8
2190186105,INDE400101,56.8
2223371934,JZSJ900101,47.3
2210515241,LITE200321,97.8
2218248071,INDE400101,83.2
2208603890,LITE302721,66.8
2208632211,INDE501001,91.4
2228678682,LITE401521,65.6
2197164260,LITE304421,84.1
2191718121,INSM401501,27.6
2192143007,JZSJ900301,79.2
2195887286,LITE303021,74.1
2203445445,MACH392401,51.0
2206313516,LITE305421,63.9
2196972533,LITE305421,47.5
2208978008,FEES500101,76.1
2214320332,INDE900201,null
JL22051260,INSM302001,89.9
2193867221,GNED100601,null
2219573005,MACH391401,null
2217299447,INSM501901,83.0
2203663954,LITE402321,59.1
2212028859,INSM302201,77.9
2197276111,MACH392301,80.6
2204061958,LITE304421,89.1
2191891414,INFT500121,null
2219967533,LITE402321,84.1
2208055289,LITE307021,69.0
2222205377,LITE306121,66.4
2228256563,LITE304421,65.1
2215138684,INSM502001,81.4
2223586956,INSM900101,99.1
JL22001375,MACH000101,64.4
2204067262,LITE402621,93.8
2209699506,INDE000701,null
2206647931,GNED115200,84.1
2197355230,LITE304621,null
2218380408,INDE900801,70.2
2197032776,INFT500121,89.6
2195160291,LITE306321,80.4
JL21986392,MACH391401,71.4
2192004102,MACH392301,null
2225140030,LITE501121,65.1
2205569366,GNED100601,73.5
JL22264056,LITE304421,44.3
2225190361,INDE500901,95.1
JL22166030,INSM501901,64.8
JL22252352,MACH000101,87.9
2224604427,LITE402321,91.2
JL21919179,LITE302721,99.2
2216119028,SOCP100190,76.9
2195887286,INDE401401,77.9
2192665577,LITE303721,99.2
2206960299,LITE302321,null
2227101718,JZSJ900101,66.6
2229320770,JZSJ900101,null
2204393364,MACH392201,50.8
2216954812,INDE900201,85.7
2224142408,LITE101021,null
2202456514,MACH391201,94.5
2225678905,MACH392201,60.6
2224578041,GNED115200,67.5
2204430990,MACH391201,93.0
2219290065,ITDE500701,56.2
2197971878,LITE401121,73.6
2200933621,INFT500121,79.8
2192900939,LITE306121,null
2198679623,GNED106292,null
JL22208132,LITE402321,53.0
2222381192,LITE402421,37.9
JL22133278,MACH391501,75.9
2190213714,MACH000101,null
2206483393,LITE302721,null
2217293491,GNED115200,65.1
2212799123,GNED100601,94.3
2213981998,LITE302321,75.9
2217293491,INSM401201,97.8
2224676405,MACH392301,85.0
2190038824,LITE303021,48.6
2221986881,LITE200321,69.3
2190569213,FEES400501,47.7
2228057245,FEES400301,75.6
2221912866,GNED106292,70.0
2217328213,INDE400101,52.8
2195192673,LITE307021,68.3
2205390697,LITE303721,42.7
2209348555,INSM401801,91.7
2222503625,INDE500901,88.4
2218423174,CORE102600,43.9
2224634745,LITE101321,76.3
JL22274787,INSM000101,88.5
2194490065,LITE306821,null
2215849305,FEES300101,53.7
2193508875,LITE101321,98.4
2205390697,JZSJ900301,54.8
2194404805,MACH392201,74.9
2207327278,INSM401801,64.2
2197199299,LITE305821,84.7
2229017735,BSIS400121,81.5
JL22145128,INDE401401,null
2228379774,MACH390901,76.5
2191614442,LITE303021,51.1
2202277549,LITE305321,91.0
2228141357,INDE900201,73.2
2221928896,FEES500101,null
2197764511,LITE402621,74.8
2221678123,INSM000101,43.2
2217607115,INSM502101,74.6
2228359424,CORE102600,47.6
2217959034,MACH000101,null
2215061306,FEES300101,74.0
JL22198949,AUTO544905,83.6
2194572515,LITE306121,32.7
JL22232817,LITE307021,79.2
2214941166,INSM900101,94.8
2219759945,GNED101101,72.4
2218098258,LITE302321,null
2213649171,GNED106392,87.4
2226460019,LITE402421,80.5
2203320961,MACH392401,87.8
2195936057,LITE305321,null
2226445713,MACH391201,65.7
2211212033,INDE300601,66.5
2223465182,LITE101121,98.4
2201447926,INSM302001,81.6
2192143007,LITE401821,65.9
2226042811,INDE400601,59.8
2201415493,GNED100401,82.5
2191379259,JZSJ900101,52.8
2207651387,LITE305021,85.8
2222596723,MACH000101,89.3
2191743723,LITE401421,71.2
2194114443,INDE500801,82.9
2205802012,JZSJ900301,45.1
2209543269,LITE305021,86.7
JL22144367,FEES400501,61.6
2200341790,JZSJ900121,96.4
JL22182937,LITE306821,78.2
2223611160,INDE401501,null
2200933621,ITDE500701,76.7
2220876383,LITE306221,null
2203631710,MACH391401,77.6
JL22001375,INSM401601,91.3
2191278913,BSIS400121,73.1
JL22208132,ITDE500601,null
2193179551,MACH391201,69.0
JL22165777,LITE200521,95.7
